division_iso_two,topic,keywords[list],query url
BD-G,Demographic,ethnic; ethnic; sunni; shia,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=ethnic,ethnic,sunni,shia,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,shias; alawi; alawi; shiite,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=shias,alawi,alawi,shiite,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Kurd; Faili Kurd; Fayli Kurd; Christian,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Kurd,Faili%20Kurd,Fayli%20Kurd,Christian,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Christian; Yezidi; Turkmen; Shabak,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Christian,Yezidi,Turkmen,Shabak,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Mandean; Armenian; Chaldeans; Chaldeans,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Mandean,Armenian,Chaldeans,Chaldeans,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Syriacs; Assyrian; Circassian; Baha'i,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Syriacs,Assyrian,Circassian,Baha%27i,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Roma; Roma; Marsh Arabs; Jews,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Roma,Roma,Marsh%20Arabs,Jews,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,Sabeans; Gypsy; Black Iraqis; religion,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=Sabeans,Gypsy,Black%20Iraqis,religion,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,sect; minorit; shrine; mosque,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=sect,minorit,shrine,mosque,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,temple; procession; funeral; funeral,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=temple,procession,funeral,funeral,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,church; men; women; young men,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=church,men,women,young%20men,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,elderly; elderly; pilgrim; pilgrims,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=elderly,elderly,pilgrim,pilgrims,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,sectarian; discrimination; marginalisation; threat,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=sectarian,discrimination,marginalisation,threat,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,threats; harassment; identity; priest,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=threats,harassment,identity,priest,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,priest; priest; priest; persecution,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=priest,priest,priest,persecution,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,civilian; civilian; sheikh; ayatollah,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=civilian,civilian,sheikh,ayatollah,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,imam; tribe; clan; clan,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=imam,tribe,clan,clan,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,teacher; lawyer; businessman; professor,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=teacher,lawyer,businessman,professor,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,officer; officers; judge; judge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=officer,officers,judge,judge,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,minister; employee; employee; worker,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=minister,employee,employee,worker,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,doctor; nurse; nurse; engineer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=doctor,nurse,nurse,engineer,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,director; journalist; human rights; children,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=director,journalist,human%20rights,children,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,children; child; security guard; security guard,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=children,child,security%20guard,security%20guard,%2Fm%2F02nf_&hl=en-US"
BD-G,Demographic,factory; guard; racism,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-G&q=factory,guard,racism,%2Fm%2F02nf_&hl=en-US"
