division_iso_two,topic,keywords[list],query url
BD-A,Relief,relief efforts; disaster; emergency situation; complex humanitarian emergency situation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=relief%20efforts,disaster,emergency%20situation,complex%20humanitarian%20emergency%20situation,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,humanitarian organisations; humanitarian organisations; humanitarian organisations; humanitarian agencies,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=humanitarian%20organisations,humanitarian%20organisations,humanitarian%20organisations,humanitarian%20agencies,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,humanitarian agencies; humanitarian agencies; refugee camp; tent,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=humanitarian%20agencies,humanitarian%20agencies,refugee%20camp,tent,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,host community; refugee camps; tents; host communities,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=host%20community,refugee%20camps,tents,host%20communities,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,coping strategies; coping strategies; aid; aid,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=coping%20strategies,coping%20strategies,aid,aid,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,aid; relief; outbreak; outbreak,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=aid,relief,outbreak,outbreak,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,infectious diseases; epidemic; disease; contagious,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=infectious%20diseases,epidemic,disease,contagious,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,donor; donor; donor; vaccination,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=donor,donor,donor,vaccination,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,vaccination; campaign; campaign; campaign,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=vaccination,campaign,campaign,campaign,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,polio; cholera; operation; operation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=polio,cholera,operation,operation,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,operation; nutrition; malnourishment; malnutrition,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=operation,nutrition,malnourishment,malnutrition,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,reconstruction; supplies; medical; grant,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=reconstruction,supplies,medical,grant,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,workshop; rationing; PDS; PDS,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=workshop,rationing,PDS,PDS,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,charity; charity; organisation; shelter,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=charity,charity,organisation,shelter,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,refuge; refuge; temporary; temporary,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=refuge,refuge,temporary,temporary,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,death; immunisation; protection; faeces,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=death,immunisation,protection,faeces,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,cash assistance; medicine; medicine; medicine,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=cash%20assistance,medicine,medicine,medicine,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,suffering; pregnant; basket; container,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=suffering,pregnant,basket,container,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,container; container; carton; clothes,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=container,container,carton,clothes,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,emergency; food parcels; money; voucher,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=emergency,food%20parcels,money,voucher,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,voucher; dehydration; undernutrition; cash grant,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=voucher,dehydration,undernutrition,cash%20grant,%2Fm%2F02nf_&hl=en-US"
BD-A,Relief,cash grant; cash grant; army,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=cash%20grant,cash%20grant,army,%2Fm%2F02nf_&hl=en-US"
