division_iso_two,topic,keywords[list],query url
BD-A,Political & LawsPolicy,province; governorate; district; government,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=province,governorate,district,government,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,authorit; local; council; mayor,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=authorit,local,council,mayor,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,representative; election; rule; law,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=representative,election,rule,law,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,registration; register; register; administration,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=registration,register,register,administration,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,reform; protest; demonstration; demonstration,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=reform,protest,demonstration,demonstration,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,decree; resolution; resolution; resolution,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=decree,resolution,resolution,resolution,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,resolution; electorate; electorate; vote,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=resolution,electorate,electorate,vote,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,voter; committee; committee; minister,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=voter,committee,committee,minister,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,ministry; official; candidate; prime minister,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=ministry,official,candidate,prime%20minister,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,speaker; president; vice-president; spokesperson,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=speaker,president,vice-president,spokesperson,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,repression; oppression; discontent; discontent,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=repression,oppression,discontent,discontent,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,corruption; nepotism; deal; deal,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=corruption,nepotism,deal,deal,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,bargain; deadline; summit; bodyguard,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=bargain,deadline,summit,bodyguard,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,stalemate; disagreement; misunderstanding; investigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=stalemate,disagreement,misunderstanding,investigation,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,security measures; coalition; consensus; crackdown,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=security%20measures,coalition,consensus,crackdown,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,crackdown; opposition; discrimination; talks,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=crackdown,opposition,discrimination,talks,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,negotiations; negotiations; direct; indirect,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=negotiations,negotiations,direct,indirect,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,civil society; civil society; civil society; directorate,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=civil%20society,civil%20society,civil%20society,directorate,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,directorate; planning; parliament; MP,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=directorate,planning,parliament,MP,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,MP; union; union; union,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=MP,union,union,union,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,union; constitution; constitution; delegation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=union,constitution,constitution,delegation,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,inspector; supporter; activist; activist,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=inspector,supporter,activist,activist,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,aide; policy; principle; pledge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=aide,policy,principle,pledge,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,pledge; agreement; alliance; dialogue,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=pledge,agreement,alliance,dialogue,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,dialogue; announcement; closure; trade union,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=dialogue,announcement,closure,trade%20union,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,trade union; restriction; restriction; restrictions,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=trade%20union,restriction,restriction,restrictions,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,demonstrator; demonstrator; sit-in; protester,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=demonstrator,demonstrator,sit-in,protester,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,crime; boycott; boycott; boycott,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=crime,boycott,boycott,boycott,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Foreign Affairs; Ministry of Defence; Ministry of Health; Ministry of Education,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Foreign%20Affairs,Ministry%20of%20Defence,Ministry%20of%20Health,Ministry%20of%20Education,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Displacement and Migration; Ministry of Displacement and Migration; Ministry of Interior; Ministry of Oil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Displacement%20and%20Migration,Ministry%20of%20Displacement%20and%20Migration,Ministry%20of%20Interior,Ministry%20of%20Oil,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Oil; Ministry of Justice; Ministry of Justice; Ministry of Finance,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Oil,Ministry%20of%20Justice,Ministry%20of%20Justice,Ministry%20of%20Finance,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Electricity; Ministry of Electricity; Ministry of Water Resources; Ministry of Trade,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Electricity,Ministry%20of%20Electricity,Ministry%20of%20Water%20Resources,Ministry%20of%20Trade,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Industry and Minerals; Ministry of Industry and Minerals; Ministry of Higher Education; Ministry of Higher Education,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Industry%20and%20Minerals,Ministry%20of%20Industry%20and%20Minerals,Ministry%20of%20Higher%20Education,Ministry%20of%20Higher%20Education,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Human Rights; Ministry of Human Rights; Ministry of Communications; Ministry of Communications,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Human%20Rights,Ministry%20of%20Human%20Rights,Ministry%20of%20Communications,Ministry%20of%20Communications,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Construction and Housing; Ministry of Construction and Housing; Ministry of Culture; Ministry of Culture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Construction%20and%20Housing,Ministry%20of%20Construction%20and%20Housing,Ministry%20of%20Culture,Ministry%20of%20Culture,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,KRG; Ministry of Science and Technology; Ministry of Transportation; Ministry of Transportation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=KRG,Ministry%20of%20Science%20and%20Technology,Ministry%20of%20Transportation,Ministry%20of%20Transportation,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of Labour and Social Affairs; Ministry of Labour and Social Affairs; Ministry of Labour and Social Affairs; Ministry of the Environment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20Labour%20and%20Social%20Affairs,Ministry%20of%20Labour%20and%20Social%20Affairs,Ministry%20of%20Labour%20and%20Social%20Affairs,Ministry%20of%20the%20Environment,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,Ministry of the Environment; Ministry of Planning; party; parties,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=Ministry%20of%20the%20Environment,Ministry%20of%20Planning,party,parties,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,parties; political; responsibility; department,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=parties,political,responsibility,department,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,judge; elections; army; guards,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=judge,elections,army,guards,%2Fm%2F02nf_&hl=en-US"
BD-A,Political & LawsPolicy,guards; guards,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-A&q=guards,guards,%2Fm%2F02nf_&hl=en-US"
