Category: All categories

Month,অস্ত্রোপচার: (Dhaka Division),পুষ্টি: (Dhaka Division),অপুষ্টি: (Dhaka Division),পুষ্টিহীনতা: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,45,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,0,48
2006-09,22,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,0,0,55
2006-12,0,0,0,0,31
2007-01,0,0,0,0,41
2007-02,0,0,0,0,48
2007-03,0,0,0,0,30
2007-04,0,0,0,0,30
2007-05,0,0,0,0,30
2007-06,0,0,0,0,42
2007-07,0,0,0,0,29
2007-08,0,0,0,0,32
2007-09,0,0,0,0,31
2007-10,0,0,0,0,29
2007-11,0,0,0,0,36
2007-12,0,0,0,0,37
2008-01,0,0,0,0,30
2008-02,0,0,0,0,39
2008-03,0,0,0,0,39
2008-04,0,0,0,0,40
2008-05,0,0,0,0,34
2008-06,0,0,0,0,35
2008-07,0,0,0,0,30
2008-08,0,0,0,0,34
2008-09,0,0,0,0,34
2008-10,0,0,0,0,32
2008-11,0,0,0,0,27
2008-12,0,0,0,0,28
2009-01,0,0,0,0,24
2009-02,0,0,0,0,36
2009-03,0,0,0,0,33
2009-04,0,0,0,0,31
2009-05,0,0,0,0,34
2009-06,0,0,0,0,35
2009-07,0,0,0,0,42
2009-08,0,0,0,0,32
2009-09,0,0,0,0,35
2009-10,0,0,0,0,32
2009-11,0,0,0,0,33
2009-12,0,0,0,0,25
2010-01,0,0,0,0,31
2010-02,0,0,0,0,36
2010-03,0,0,0,0,28
2010-04,0,0,0,0,28
2010-05,0,0,0,0,25
2010-06,0,0,0,0,27
2010-07,0,0,0,0,30
2010-08,0,0,0,0,34
2010-09,0,0,0,0,25
2010-10,0,0,0,0,29
2010-11,0,0,0,0,32
2010-12,0,0,0,0,32
2011-01,0,0,0,0,32
2011-02,0,0,0,0,31
2011-03,0,0,0,0,28
2011-04,0,0,0,0,31
2011-05,0,0,0,0,29
2011-06,0,0,0,0,30
2011-07,0,0,0,0,31
2011-08,0,0,0,0,32
2011-09,0,0,0,0,29
2011-10,0,0,0,0,27
2011-11,0,0,0,0,27
2011-12,0,0,0,0,28
2012-01,0,0,0,0,29
2012-02,0,0,0,0,27
2012-03,0,0,0,0,27
2012-04,0,0,0,0,25
2012-05,0,0,0,0,27
2012-06,0,0,0,0,33
2012-07,0,0,0,0,28
2012-08,0,0,0,0,27
2012-09,0,0,0,0,29
2012-10,0,0,0,0,26
2012-11,0,0,0,0,28
2012-12,0,0,0,0,26
2013-01,0,0,0,0,29
2013-02,0,0,0,0,28
2013-03,0,0,0,0,26
2013-04,0,0,0,0,27
2013-05,0,0,0,0,25
2013-06,0,0,0,0,25
2013-07,0,0,0,0,27
2013-08,0,0,0,0,22
2013-09,0,0,0,0,23
2013-10,0,0,0,0,23
2013-11,0,0,0,0,23
2013-12,0,0,0,0,22
2014-01,0,<1,0,0,22
2014-02,0,0,0,0,24
2014-03,0,0,0,0,22
2014-04,0,0,0,0,23
2014-05,0,<1,0,0,22
2014-06,0,0,0,0,22
2014-07,0,0,0,0,21
2014-08,0,0,0,0,23
2014-09,0,<1,0,0,23
2014-10,0,0,0,0,22
2014-11,0,0,0,0,24
2014-12,0,0,0,0,24
2015-01,0,<1,0,0,28
2015-02,0,<1,0,0,27
2015-03,0,<1,0,0,24
2015-04,0,<1,0,0,24
2015-05,0,<1,0,0,24
2015-06,0,0,0,0,24
2015-07,0,0,0,0,21
2015-08,0,0,0,0,24
2015-09,0,<1,0,0,22
2015-10,0,<1,0,0,23
2015-11,0,<1,0,0,23
2015-12,0,0,0,0,32
2016-01,0,<1,0,0,24
2016-02,0,<1,0,0,18
2016-03,0,<1,0,0,19
2016-04,0,<1,0,0,20
2016-05,0,<1,0,0,17
2016-06,0,<1,0,0,18
2016-07,0,<1,0,0,16
2016-08,0,<1,0,0,17
2016-09,0,<1,0,0,16
2016-10,0,<1,0,0,17
2016-11,0,<1,0,0,17
2016-12,0,<1,0,0,17
2017-01,0,<1,0,0,17
2017-02,0,<1,0,0,18
2017-03,0,<1,0,0,17
2017-04,0,<1,0,0,18
2017-05,0,<1,0,0,16
2017-06,0,0,0,0,14
2017-07,0,<1,0,0,17
2017-08,<1,<1,0,0,16
2017-09,0,<1,0,0,18
2017-10,0,<1,0,0,18
2017-11,0,<1,0,0,19
2017-12,0,<1,0,0,18
2018-01,0,<1,0,0,19
2018-02,0,<1,0,0,19
2018-03,0,<1,0,0,21
2018-04,0,<1,0,0,20
2018-05,0,<1,0,0,19
2018-06,0,<1,0,0,19
2018-07,0,<1,0,0,20
2018-08,0,<1,0,0,19
2018-09,0,<1,0,0,20
2018-10,0,<1,0,0,20
2018-11,0,<1,0,0,21
2018-12,0,<1,0,0,16
2019-01,<1,<1,0,0,20
2019-02,0,<1,0,0,20
2019-03,0,<1,0,0,23
2019-04,0,<1,0,0,24
2019-05,0,<1,0,0,22
2019-06,<1,<1,0,0,18
2019-07,0,<1,0,0,21
2019-08,0,<1,0,0,22
2019-09,0,<1,0,0,22
2019-10,0,<1,0,0,23
2019-11,0,<1,0,0,22
2019-12,0,<1,0,0,19
2020-01,0,<1,0,0,21
2020-02,0,<1,0,0,23
2020-03,0,<1,0,0,24
2020-04,0,<1,0,0,24
2020-05,0,<1,0,0,23
2020-06,0,<1,0,0,29
2020-07,0,<1,0,0,31
2020-08,0,1,0,0,27
2020-09,0,<1,0,0,28
2020-10,0,1,0,0,25
2020-11,0,1,0,0,22
2020-12,0,1,0,0,23
2021-01,0,1,0,0,22
2021-02,0,1,0,0,21
2021-03,0,1,0,0,22
2021-04,0,1,0,0,21
2021-05,0,<1,0,0,19
2021-06,0,1,0,0,21
2021-07,0,1,0,0,19
2021-08,0,1,0,0,20
2021-09,0,1,0,0,20
2021-10,0,<1,0,0,19
2021-11,0,<1,0,0,25
2021-12,0,<1,0,0,18
2022-01,0,<1,0,0,20
2022-02,0,1,0,0,24
2022-03,0,1,0,0,29
2022-04,0,1,0,0,25
2022-05,0,1,0,0,25
2022-06,0,1,0,0,27
2022-07,0,1,0,0,24
2022-08,0,1,0,0,27
2022-09,0,1,<1,0,29
2022-10,0,1,0,0,25
2022-11,0,1,0,0,27
2022-12,0,1,0,0,20
2023-01,0,1,<1,0,22
2023-02,<1,1,<1,0,23
2023-03,<1,1,<1,0,22
2023-04,0,1,0,0,19
2023-05,0,1,<1,0,24
2023-06,0,2,<1,0,23
2023-07,0,1,0,0,20
2023-08,0,1,<1,0,26
2023-09,<1,1,<1,0,21
2023-10,0,1,<1,0,20
2023-11,<1,1,0,0,21
2023-12,0,1,0,0,18
2024-01,0,1,<1,0,20
2024-02,0,1,<1,0,21
2024-03,0,1,<1,0,20
2024-04,0,1,0,0,18
2024-05,0,1,<1,0,20
2024-06,0,1,<1,0,15
2024-07,0,1,0,0,19
2024-08,0,<1,0,0,19
2024-09,0,1,<1,0,22
2024-10,0,1,<1,0,20
2024-11,0,1,<1,0,23
2024-12,<1,1,0,0,19
2025-01,0,1,0,0,21
2025-02,<1,1,0,0,21
2025-03,0,1,0,0,20
2025-04,0,1,0,0,18
2025-05,0,1,0,0,21
2025-06,0,1,0,0,18
2025-07,0,1,0,0,19
2025-08,0,1,0,0,20
2025-09,<1,1,<1,0,20
